번호,구역 (Room),파일명 (MP3 저장명),화자 (캐릭터),성별 / 연령대,목소리 스타일 & 감정,타입캐스트 / 클로바 추천 보이스,재생 상황 / 학년,대사 전문 (더빙 스크립트),발음 및 녹음 가이드 (주의사항),작업 체크
11,1번 방 (출항 기지),room1-depart-grade3.mp3,길잡이 독이,여 / 마스코트 새,"탐구적, 퀴즈 유도",타입캐스트 [하은],3~4학년 출항 경로 해독판,출항 경로를 해독할 시간이야. 지도에서 울릉도와 독도를 찾아봐. 방향 표시와 두 섬을 잇는 화살표를 살펴보자. 울릉도에서 독도로 가려면 어느 쪽으로 가야 할까? 그림을 근거로 답을 골라 줘.,질문 끝부분 '어느 쪽으로 가야 할까?' 억양 살리기.,[  ]
12,1번 방 (출항 기지),room1-depart-grade5.mp3,길잡이 독이,여 / 마스코트 새,"논리적, 정확함",타입캐스트 [하은],5~6학년 출항 경로 해독판,지도 기록으로 출항 안내문을 완성해 보자. 울릉도에서 독도로 향하는 방향과 두 섬 사이의 거리를 함께 확인해 봐. 그림에 적힌 정보와 일치하는 안내문을 골라 줘.,'정보와 일치하는 안내문'을 명확하게 전달.,[  ]
13,1번 방 (출항 기지),room1-gate.mp3,길잡이 독이,여 / 마스코트 새,"수수께끼 힌트, 격려",타입캐스트 [하은],1번 방 위치 잠금장치,"첫 번째 문의 위치 잠금장치야. 지금까지 모은 지도와 사진 단서를 떠올려 봐. 독도가 있는 바다, 그리고 독도를 이루는 큰 두 섬의 이름 순서로 카드를 넣어 줘. 헷갈리면 수첩과 지도를 다시 살펴봐도 좋아.",카드 조합의 힌트(바다 ➔ 두 섬 이름)가 귀에 쏙 들어오도록.,[  ]
14,1번 방 (출항 기지),room1-evidence.mp3,길잡이 독이,여 / 마스코트 새,"교훈적, 사고력 자극",타입캐스트 [하은],1번 방 통과 전 단서 해설,"문을 나가기 전에 지도 단서의 까닭을 생각해 보자. 독도는 동해에 있고, 동도와 서도, 주변의 작은 바위섬으로 이루어져 있어. 지도에서는 독도를 한 점으로 나타내기도 하지만 실제 섬이 하나라는 뜻은 아니야. 사진과 지도는 같은 장소를 서로 다른 방법으로 보여 준다는 걸 기억하자.",마지막 문장 '사진과 지도는 같은 장소를...'을 의미심장하게 전달.,[  ]
15,1번 방 (출항 기지),room1-panorama.mp3,길잡이 독이,여 / 마스코트 새,사진 관찰 설명,타입캐스트 [하은],실제 사진집(파노라마) 열람,"독도는 동도, 서도와 주변의 작은 바위섬으로 이루어져 있어. 사진의 왼쪽과 오른쪽은 촬영한 방향에 따라 달라져. 좌우 위치만 외우지 말고 각각의 모습을 살펴보자.",사진을 손으로 가리키며 말하듯 실감 나게.,[  ]
16,2번 방 (지형 관측),npc-keeper-grade1.mp3,등대 아저씨,남 / 40~50대 중년,"다정하고 듬직함, 인자함",타입캐스트 [민상/영호] / 클로바 [진우],1~2학년 등대지기 대화,저기 반짝이는 불빛이 보이니? 동도 꼭대기의 독도 등대야. 밤에는 “독도가 여기 있어요!” 하고 배에 알려 안전하게 지나가도록 도와줘. 동도 등대와 화산섬 지형을 관찰하고 기록해 줘.,“독도가 여기 있어요!”는 살짝 목소리를 높여 흉내 내듯 연기.,[  ]
17,2번 방 (지형 관측),npc-keeper-grade3.mp3,등대 아저씨,남 / 40~50대 중년,"자상함, 전문 지식 설명",타입캐스트 [민상] / 클로바 [진우],3~4학년 등대지기 대화,독도 등대는 동도에 있는 항로표지 시설이야. 밤이나 날씨가 나쁠 때 불빛으로 독도의 위치를 알려 배의 안전한 항해를 도와주지. 동도 등대와 화산섬 지형을 관찰하고 기록해 줘.,'항로표지 시설' 어휘 또박또박 발음.,[  ]
18,2번 방 (지형 관측),npc-keeper-grade5.mp3,등대 아저씨,남 / 40~50대 중년,"신뢰감, 역사적 자부심",타입캐스트 [민상] / 클로바 [진우],5~6학년 등대지기 대화,독도 등대는 동도에서 배의 안전을 돕는 유인 등대야. 대한민국이 시설을 설치하고 계속 운영하는 모습은 독도를 평화롭게 관리하는 실효적 지배의 한 근거야. 동도 등대와 화산섬 지형을 관찰하고 기록해 줘.,'실효적 지배의 한 근거'를 묵직하고 당당하게.,[  ]
19,2번 방 (지형 관측),room2-gate.mp3,독이,여 / 마스코트 새,비교 힌트 안내,타입캐스트 [하은],2번 방 지형 잠금장치,"2번 방 지형 관찰 잠금장치야. 동도와 서도의 특징을 비교하는 카드를 찾아봐. 완만한 경사에 등대와 선착장이 있는 동도, 뾰족하고 가파른 주민 숙소가 있는 서도를 사진과 함께 맞춰 줘.","동도(완만, 등대, 선착장)와 서도(뾰족, 가파름, 주민숙소) 대비.",[  ]
20,3번 방 (생태 연구),npc-researcher-grade1.mp3,바다 박사,여 / 20~30대 연구원,"상냥함, 자연을 아끼는 톤",타입캐스트 [아라/수진] / 클로바 [유나],1~2학년 바다 박사 대화,괭이갈매기와 바다제비가 놀라지 않게 멀리서 조용히 보자. 해조숲은 작은 물고기가 숨고 먹이를 찾는 집이야. 바닷새와 해조숲을 방해하지 않고 관찰해 생태 기록을 완성해 줘.,자연과 생명을 소중히 여기는 다정한 어조.,[  ]
21,3번 방 (생태 연구),npc-researcher-grade3.mp3,바다 박사,여 / 20~30대 연구원,지적이고 친절한 교사 톤,타입캐스트 [아라] / 클로바 [유나],3~4학년 바다 박사 대화,독도는 천연기념물 제336호 독도 천연보호구역이야. 새의 둥지에 가까이 가지 말고 사진으로 기록하자. 해조숲은 물고기와 작은 생물에게 숨을 곳과 먹이를 주기 때문에 소중한 삶터야. 바닷새와 해조숲을 방해하지 않고 관찰해 생태 기록을 완성해 줘.,★ '천연기념물 제336호' 정확한 발음 필수.,[  ]
22,3번 방 (생태 연구),npc-researcher-grade5.mp3,바다 박사,여 / 20~30대 연구원,"전문 과학자, 진지함",타입캐스트 [아라] / 클로바 [유나],5~6학년 바다 박사 대화,천연보호구역에서는 관찰 거리를 지키고 먹이를 주지 않으며 확인한 범위만 기록해야 해. 해조숲은 먹이망과 어린 생물의 은신처를 이루므로 독도 바다 생태계를 지탱해. 바닷새와 해조숲을 방해하지 않고 관찰해 생태 기록을 완성해 줘.,"'먹이망', '은신처' 등 생태 전문 어휘를 정확히 전달.",[  ]
23,3번 방 (생태 연구),room3-gate.mp3,독이,여 / 마스코트 새,삶터 매칭 힌트,타입캐스트 [하은],3번 방 삶터 연결 장치,"3번 방 생태 삶터 연결 장치야. 하늘의 괭이갈매기, 바다의 자리돔과 다시마처럼 독도 생물들이 살아가는 공간을 알맞게 짝지어 줘.",하늘 생물과 바다 생물의 짝짓기 유도.,[  ]
24,4번 방 (역사 기록),npc-anyongbok-grade1.mp3,안용복,남 / 30대 조선 어부,"당당함, 호탕함, 바다 사나이",타입캐스트 [호걸/강철] / 클로바 [영민],1~2학년 안용복 대화,나는 조선의 어부 안용복이오. 일본까지 가서 울릉도와 독도가 조선 땅이라고 당당히 말했소. 이사부와 칙령 제41호 사이에서 내 기록의 시대를 찾아보시오.,사극 톤의 힘차고 당당한 목소리.,[  ]
25,4번 방 (역사 기록),npc-anyongbok-grade3.mp3,안용복,남 / 30대 조선 어부,"결연함, 역사적 자부심",타입캐스트 [호걸] / 클로바 [영민],3~4학년 안용복 대화,나는 조선 숙종 때 활동한 어부 안용복이오. 일본에 두 차례 건너가 울릉도와 독도가 조선 영토임을 주장했소. 관련 기록을 살펴보시오. 이사부와 칙령 제41호 사이에서 내 기록의 시대를 찾아보시오.,'조선 숙종 때' 시대적 배경 또렷하게.,[  ]
26,4번 방 (역사 기록),npc-anyongbok-grade5.mp3,안용복,남 / 30대 조선 어부,"비장함, 사료의 근거 강조",타입캐스트 [호걸] / 클로바 [영민],5~6학년 안용복 대화,나는 조선 숙종 때 일본에 건너가 울릉도와 독도가 조선 영토임을 주장했소. 그 무렵 일본 막부는 자국 어민의 울릉도 도해를 금지했소. 조선과 일본 기록의 내용과 시기를 함께 확인하시오. 이사부와 칙령 제41호 사이에서 내 기록의 시대를 찾아보시오.,★ '도해(渡海)' 발음 주의. 일본 막부의 도해 금지 사실을 힘주어 전달.,[  ]
27,4번 방 (역사 기록),npc-isabu-grade1.mp3,이사부 장군,남 / 50대 위엄 있는 장군,"웅장함, 깊은 울림, 위엄",타입캐스트 [광개토/대장군] / 클로바 [덕수],1~2학년 이사부 대화,"삼국사기에는 512년 이사부 장군이 우산국을 신라의 땅으로 만들었다고 적혀 있어. 우리나라와 독도의 인연이 1,500년 넘게 이어진다는 것을 보여 줘. 세 시대의 자료를 가장 오래된 것부터 배열해 줘.",천 년의 역사를 품은 묵직하고 장엄한 목소리.,[  ]
28,4번 방 (역사 기록),npc-isabu-grade3.mp3,이사부 장군,남 / 50대 위엄 있는 장군,"엄숙함, 무게감",타입캐스트 [광개토] / 클로바 [덕수],3~4학년 이사부 대화,512년 신라 이사부 장군은 울릉도와 주변 섬을 다스리던 우산국을 복속했어. 이 사실은 고려 시대에 편찬된 역사책 삼국사기에 기록되어 있어. 세 시대의 자료를 가장 오래된 것부터 배열해 줘.,★ '우산국을 복속(服屬)했어' 의미를 살려 강조.,[  ]
29,4번 방 (역사 기록),npc-isabu-grade5.mp3,이사부 장군,남 / 50대 위엄 있는 장군,"사료 비판적 안목, 묵직함",타입캐스트 [광개토] / 클로바 [덕수],5~6학년 이사부 대화,삼국사기 신라본기는 512년 이사부가 우산국을 복속했다고 기록해. 후대에 편찬된 사료이므로 기록의 내용과 시대적 맥락을 함께 살펴야 해. 세 시대의 자료를 가장 오래된 것부터 배열해 줘.,"'신라본기', '시대적 맥락' 진중하게 발음.",[  ]
30,4번 방 (역사 기록),room4-gate.mp3,독이,여 / 마스코트 새,역사 연표 순서 힌트,타입캐스트 [하은],4번 방 역사 시간 잠금장치,"4번 방 역사 시간 잠금장치야. 512년 신라 이사부 장군, 조선 숙종 때 안용복, 1900년 대한제국 칙령 제41호 순서로 세 시대의 역사 단서를 시간 순서대로 연결해 줘.",★ 신라(512) ➔ 조선(숙종) ➔ 대한제국(1900) 3단계 순서가 뚜렷이 들리도록.,[  ]
31,5번 방 (보호 작전),npc-gangchi-grade1.mp3,강치 강이 (바다사자),중성 / 어린 동물,"귀여움, 애틋함, 호소",타입캐스트 [토리/밍키] / 클로바 [보미],1~2학년 강치 대화,나는 옛날 독도 바위에서 살던 강치 강이야. 사람들이 너무 많이 잡아 지금은 독도에서 우리를 볼 수 없어. 한 번 사라진 생명은 다시 돌아오기 어려워. 지금 만나는 생명은 꼭 지켜 줘. 사람이 버린 쓰레기만 정리하고 자연석은 제자리에 두어 줘.,슬프지만 울지 않고 아이들에게 부탁하는 다정한 어조.,[  ]
32,5번 방 (보호 작전),npc-gangchi-grade3.mp3,강치 강이,중성 / 어린 동물,"애절함, 교훈 전달",타입캐스트 [토리] / 클로바 [보미],3~4학년 강치 대화,옛날 독도에는 강치가 무리 지어 살았지만 일제강점기를 전후해 마구 잡히며 사라졌어. 쓰레기를 되가져가고 생물을 놀라게 하지 않는 작은 행동이 다른 생명의 같은 슬픔을 막아 줘. 사람이 버린 쓰레기만 정리하고 자연석은 제자리에 두어 줘.,일제강점기 남획의 역사적 아픔을 잔잔하게 전달.,[  ]
33,5번 방 (보호 작전),npc-gangchi-grade5.mp3,강치 강이,중성 / 어린 동물,"진심 어린 당부, 실천 촉구",타입캐스트 [토리] / 클로바 [보미],5~6학년 강치 대화,강치는 일제강점기를 전후한 무분별한 포획으로 독도에서 사라졌어. 사라진 종과 생태계를 되돌리기는 매우 어려워. 기록을 기억하는 데서 멈추지 말고 서식지 훼손을 줄이고 꾸준히 관찰하는 보전 행동으로 이어 줘. 사람이 버린 쓰레기만 정리하고 자연석은 제자리에 두어 줘.,'보전 행동으로 이어 줘'에서 마음을 울리는 호소.,[  ]
34,5번 방 (보호 작전),room5-gate.mp3,독이,여 / 마스코트 새,행동 분류 힌트,타입캐스트 [하은],5번 방 보전 행동 잠금장치,5번 방 보전 행동 잠금장치야. 자연을 지키기 위해 우리가 할 수 있는 행동을 골라 줘. 쓰레기는 되가져오고 자연석은 그대로 두며 생물은 멀리서 관찰하는 거야.,되가져올 것(쓰레기)과 그대로 둘 것(자연물) 구분 명확화.,[  ]
35,6번 방 (수호 통신),npc-guard-grade1.mp3,수호 대원,남 / 20대 청년 경찰,"씩씩함, 쾌활함, 든든함",타입캐스트 [정우/민우] / 클로바 [진호],1~2학년 수호대원 대화,"독도에는 섬을 지키는 경비대와 등대에서 일하는 사람들이 있어. 삽살개도 독도 지킴이로 활동해 왔지. 사람이 살고 편지를 받고 연락할 수 있는 대한민국의 생활 터전이야. 독도의 모습, 역사 기록, 보호 실천을 차례로 연결해 줘.",친절한 경찰 아저씨처럼 듬직하고 명랑하게.,[  ]
36,6번 방 (수호 통신),npc-guard-grade3.mp3,수호 대원,남 / 20대 청년 경찰,"신뢰감, 생활 터전 소개",타입캐스트 [정우] / 클로바 [진호],3~4학년 수호대원 대화,"독도경비대는 24시간 섬을 지키고, 등대 직원과 주민도 독도와 이어진 생활을 하고 있어. 동도에는 독도이사부길, 서도에는 독도안용복길이 있고 우편번호는 40240이야. 독도의 모습, 역사 기록, 보호 실천을 차례로 연결해 줘.","★ 도로명 '독도이사부길', '독도안용복길', '우편번호 40240(사공이사이공)' 정확히.",[  ]
37,6번 방 (수호 통신),npc-guard-grade5.mp3,수호 대원,남 / 20대 청년 경찰,"사명감, 결의, 주권 자긍심",타입캐스트 [정우] / 클로바 [진호],5~6학년 수호대원 대화,"경비대의 상시 경비, 등대 운영, 주민등록과 주민 숙소, 도로명주소와 우편·통신 시설은 대한민국의 평화로운 관리와 생활을 보여 줘. 독도 지킴이로 활동해 온 삽살개 이야기와 함께 지형·역사·보전 근거를 연결해 수호 메시지를 완성하자. 독도의 모습, 역사 기록, 보호 실천을 차례로 연결해 줘.",대한민국의 평화로운 영토 주권을 당당하고 자긍심 넘치게.,[  ]
38,6번 방 (수호 통신),room6-gate.mp3,독이,여 / 마스코트 새,최종 피날레 힌트,타입캐스트 [하은],6번 방 수호 메시지 장치,"마지막 6번 방의 수호 메시지 전송 장치야. 지금까지 탐구한 독도의 자연 지형, 1,500년 역사 기록, 그리고 우리가 실천할 생태 보전 계획 카드를 알맞은 슬롯에 조합해 봐.",최종 관문다운 활기차고 감동적인 힌트 전달.,[  ]
